training: rounds=170 workers=12 episodes/worker=6 grad_steps/round=300 device=cpu
  lr=0.0007 gamma=0.99 n_step=3 eps 1.0->0.02 over 250000 steps
round   54/170 | lines    0.00 | score        0 | eps 0.681 | buf   81399 | loss 1.1937 | +  1519 |   2.9s
round   55/170 | lines    0.00 | score        0 | eps 0.675 | buf   82927 | loss 1.1997 | +  1528 |   3.0s
round   56/170 | lines    0.01 | score        1 | eps 0.669 | buf   84465 | loss 1.1993 | +  1538 |   2.9s
round   57/170 | lines    0.03 | score        3 | eps 0.663 | buf   85946 | loss 1.1945 | +  1481 |   2.9s
round   58/170 | lines    0.01 | score        1 | eps 0.657 | buf   87453 | loss 1.1923 | +  1507 |   2.9s
round   59/170 | lines    0.00 | score        0 | eps 0.652 | buf   88873 | loss 1.1882 | +  1420 |   3.0s
  eval: 0.08 lines/game (max 1), score 8, pieces 24 *best*
round   60/170 | lines    0.03 | score        3 | eps 0.646 | buf   90430 | loss 1.1946 | +  1557 |   4.3s
round   61/170 | lines    0.06 | score        6 | eps 0.639 | buf   92067 | loss 1.1803 | +  1637 |   3.1s
round   62/170 | lines    0.01 | score        1 | eps 0.633 | buf   93628 | loss 1.1747 | +  1561 |   3.0s
round   63/170 | lines    0.06 | score        6 | eps 0.626 | buf   95288 | loss 1.1766 | +  1660 |   3.2s
round   64/170 | lines    0.03 | score        3 | eps 0.620 | buf   96939 | loss 1.1795 | +  1651 |   3.2s
round   65/170 | lines    0.01 | score        1 | eps 0.614 | buf   98480 | loss 1.1725 | +  1541 |   3.1s
round   66/170 | lines    0.07 | score        7 | eps 0.607 | buf  100132 | loss 1.1798 | +  1652 |   3.1s
round   67/170 | lines    0.01 | score        1 | eps 0.601 | buf  101731 | loss 1.1704 | +  1599 |   3.1s
round   68/170 | lines    0.06 | score        6 | eps 0.595 | buf  103333 | loss 1.1707 | +  1602 |   3.1s
round   69/170 | lines    0.03 | score        3 | eps 0.588 | buf  105018 | loss 1.1743 | +  1685 |   3.2s
  eval: 0.08 lines/game (max 1), score 8, pieces 26
round   70/170 | lines    0.01 | score        1 | eps 0.582 | buf  106614 | loss 1.1704 | +  1596 |   4.3s
round   71/170 | lines    0.03 | score        3 | eps 0.576 | buf  108263 | loss 1.1713 | +  1649 |   3.2s
round   72/170 | lines    0.07 | score        7 | eps 0.569 | buf  109983 | loss 1.1667 | +  1720 |   3.3s
