training: rounds=170 workers=12 episodes/worker=6 grad_steps/round=300 device=cpu
  lr=0.0007 gamma=0.99 n_step=3 eps 1.0->0.02 over 250000 steps
round   54/170 | lines    0.06 | score        6 | eps 0.672 | buf   83626 | loss 1.2160 | +  1541 |   3.1s
round   55/170 | lines    0.03 | score        3 | eps 0.666 | buf   85183 | loss 1.2138 | +  1557 |   3.1s
round   56/170 | lines    0.14 | score       14 | eps 0.660 | buf   86765 | loss 1.2098 | +  1582 |   3.2s
round   57/170 | lines    0.15 | score       16 | eps 0.654 | buf   88306 | loss 1.2183 | +  1541 |   3.3s
round   58/170 | lines    0.04 | score        4 | eps 0.648 | buf   89808 | loss 1.2220 | +  1502 |   3.1s
round   59/170 | lines    0.14 | score       14 | eps 0.642 | buf   91338 | loss 1.2221 | +  1530 |   3.2s
  eval: 0.08 lines/game (max 1), score 8, pieces 21
round   60/170 | lines    0.07 | score        7 | eps 0.636 | buf   92945 | loss 1.2202 | +  1607 |   4.3s
round   61/170 | lines    0.11 | score       11 | eps 0.629 | buf   94533 | loss 1.2356 | +  1588 |   3.2s
round   62/170 | lines    0.11 | score       11 | eps 0.623 | buf   96105 | loss 1.2280 | +  1572 |   3.3s
round   63/170 | lines    0.10 | score       10 | eps 0.617 | buf   97630 | loss 1.2259 | +  1525 |   3.2s
round   64/170 | lines    0.03 | score        3 | eps 0.611 | buf   99192 | loss 1.2289 | +  1562 |   3.3s
round   65/170 | lines    0.11 | score       11 | eps 0.605 | buf  100727 | loss 1.2200 | +  1535 |   3.3s
round   66/170 | lines    0.12 | score       12 | eps 0.599 | buf  102347 | loss 1.2371 | +  1620 |   3.4s
round   67/170 | lines    0.17 | score       17 | eps 0.593 | buf  103947 | loss 1.2327 | +  1600 |   3.5s
round   68/170 | lines    0.11 | score       11 | eps 0.586 | buf  105598 | loss 1.2331 | +  1651 |   3.4s
round   69/170 | lines    0.04 | score        4 | eps 0.580 | buf  107072 | loss 1.2309 | +  1474 |   3.3s
  eval: 0.42 lines/game (max 1), score 42, pieces 24 *best*
round   70/170 | lines    0.11 | score       11 | eps 0.574 | buf  108621 | loss 1.2354 | +  1549 |   4.8s
